,Unnamed: 0,Unnamed: 0.1,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
26307,4861,4861,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,108,00:00,20585,20328,3b528848-0204-4e3d-9ee2-4a23ba5f434d,2017-02-28T00:00:00+00:00,Joel Embiid
26332,4886,4886,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,25,100.0,50.0,50.0,9,4,0,2,1,0,0,4,Cavaliers,1,1,102,36:33,20562,20562,a1720c4c-2946-423e-8285-9d74083d2206,2017-02-28T00:00:00+00:00,Kyrie Irving
26333,4887,4887,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,24,77.8,70.0,50.0,6,10,0,0,1,0,0,3,Cavaliers,1,1,102,37:11,20562,20562,a1720c4c-2946-423e-8285-9d74083d2206,2017-02-28T00:00:00+00:00,LeBron James
26349,4903,4903,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,0,0,95,00:00,20562,20562,a1720c4c-2946-423e-8285-9d74083d2206,2017-02-28T00:00:00+00:00,Khris Middleton
26351,4905,4905,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,9,25.0,36.364,0.0,8,7,0,0,3,0,0,3,Bucks,0,0,95,42:15,20562,20562,a1720c4c-2946-423e-8285-9d74083d2206,2017-02-28T00:00:00+00:00,Giannis Antetokounmpo
26363,4917,4917,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,16,100.0,45.5,0.0,4,6,0,2,3,0,0,3,Knicks,1,0,91,40:16,19812,19812,ccc957c5-8f62-492e-a022-b82685f518e2,2017-02-28T00:00:00+00:00,Derrick Rose
26365,4919,4919,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Knicks,1,0,91,00:00,19812,19812,ccc957c5-8f62-492e-a022-b82685f518e2,2017-02-28T00:00:00+00:00,Kristaps Porzingis
26368,4922,4922,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,37,76.9,54.5,33.3,2,8,3,2,1,0,0,2,Raptors,0,1,92,37:24,19812,19812,ccc957c5-8f62-492e-a022-b82685f518e2,2017-02-28T00:00:00+00:00,DeMar DeRozan
26380,4934,4934,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,10,100.0,100.0,0.0,0,5,1,1,4,0,0,3,Raptors,0,1,92,18:46,19812,19812,ccc957c5-8f62-492e-a022-b82685f518e2,2017-02-28T00:00:00+00:00,Jonas Valanciunas
26422,4976,4976,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,6,0.0,100.0,0.0,1,6,2,1,3,0,0,0,Mavericks,1,1,96,24:51,19539,19200,ba0c9bd1-b5d8-4fa5-95d8-4d778423b802,2017-02-28T01:30:00+00:00,Nerlens Noel
26427,4981,4981,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,19,50.0,56.25,0.0,0,19,7,1,1,0,0,2,Heat,0,0,89,38:18,19539,19200,ba0c9bd1-b5d8-4fa5-95d8-4d778423b802,2017-02-28T01:30:00+00:00,Hassan Whiteside
26445,4999,4999,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,25,82.4,50.0,11.1,12,7,1,2,2,0,0,2,Rockets,1,0,108,39:03,18055,18055,aa50fc72-8552-467b-8ef4-c16071d7450c,2017-02-28T02:30:00+00:00,James Harden
26447,5001,5001,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,Rockets,1,0,108,4:02,18055,18055,aa50fc72-8552-467b-8ef4-c16071d7450c,2017-02-28T02:30:00+00:00,Montrezl Harrell
26450,5004,5004,Clint,Capela,c37dafbb-a269-41f6-813f-bdb4da388203,C,8,0.0,66.667,0.0,0,7,1,2,1,0,0,4,Rockets,1,0,108,23:32,18055,18055,aa50fc72-8552-467b-8ef4-c16071d7450c,2017-02-28T02:30:00+00:00,Clint Capela
26460,5014,5014,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,15,100.0,28.571,33.3,5,7,1,3,5,0,0,2,Pacers,0,1,117,29:50,18055,18055,aa50fc72-8552-467b-8ef4-c16071d7450c,2017-02-28T02:30:00+00:00,Paul George
26497,5051,5051,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,F-C,29,40.0,66.667,100.0,2,17,8,0,3,0,0,2,Timberwolves,0,1,102,37:57,17608,17500,91e2c475-a300-41c1-a36c-5251f51a14f3,2017-02-28T03:30:00+00:00,Karl-Anthony Towns
26508,5062,5062,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,25,100.0,57.143,40.0,3,4,2,2,4,0,0,5,Wizards,1,1,112,39:02,20356,20356,201011de-b568-4583-82f0-0f967055266d,2017-03-01T00:00:00+00:00,Bradley Beal
26533,5087,5087,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,19,37.5,57.143,0.0,1,15,8,1,4,0,0,1,Pistons,1,1,120,30:21,13502,19971,76417239-bff8-4d99-a97a-c397c4dbc2bb,2017-03-01T00:30:00+00:00,Andre Drummond
26557,5111,5111,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,34,83.3,58.824,37.5,9,11,1,1,2,0,1,4,Trail Blazers,0,0,113,40:39,13502,19971,76417239-bff8-4d99-a97a-c397c4dbc2bb,2017-03-01T00:30:00+00:00,Damian Lillard
26586,5140,5140,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,9,100.0,16.667,40.0,1,3,0,0,2,0,0,2,Suns,0,0,112,35:31,15871,18119,4b16c822-76a9-4b6b-a924-44aa1ddd0661,2017-03-01T01:00:00+00:00,Devin Booker
26597,5151,5151,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,G-F,8,100.0,27.273000000000003,0.0,3,4,3,3,1,0,0,0,Bulls,1,0,107,35:06,21015,20917,b7c32db6-bf26-4f40-a9b8-496c5eafbdf8,2017-03-01T01:00:00+00:00,Jimmy Butler
26608,5162,5162,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,19,100.0,42.857,100.0,10,16,2,0,1,0,0,3,Nuggets,0,1,125,32:44,21015,20917,b7c32db6-bf26-4f40-a9b8-496c5eafbdf8,2017-03-01T01:00:00+00:00,Nikola Jokic
26619,5173,5173,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,43,91.7,36.842,66.7,10,11,0,0,1,0,0,8,Thunder,1,1,109,38:47,18203,18203,d1329579-910c-41c5-a207-bb82e179da80,2017-03-01T01:00:00+00:00,Russell Westbrook
26621,5175,5175,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,2,0.0,16.667,0.0,2,6,2,1,2,0,0,1,Thunder,1,1,109,26:53,18203,18203,d1329579-910c-41c5-a207-bb82e179da80,2017-03-01T01:00:00+00:00,Steven Adams
26624,5178,5178,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,15,100.0,58.333,0.0,1,9,3,1,2,0,0,2,Thunder,1,1,109,26:59,18203,18203,d1329579-910c-41c5-a207-bb82e179da80,2017-03-01T01:00:00+00:00,Enes Kanter
26626,5180,5180,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,2,0.0,33.333,0.0,1,1,0,1,2,0,0,0,Thunder,1,1,109,11:26,18203,18203,d1329579-910c-41c5-a207-bb82e179da80,2017-03-01T01:00:00+00:00,Domantas Sabonis
26638,5192,5192,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,13,100.0,66.667,0.0,0,10,1,0,3,0,0,1,Jazz,0,0,106,31:58,18203,18203,d1329579-910c-41c5-a207-bb82e179da80,2017-03-01T01:00:00+00:00,Rudy Gobert
26656,5210,5210,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,4,0.0,40.0,0.0,0,2,0,0,1,0,0,0,Lakers,1,0,104,8:04,18997,19060,cf44ba30-7d87-4496-a4e4-4834c74ab9a2,2017-03-01T03:30:00+00:00,Ivica Zubac
26665,5219,5219,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hornets,0,1,109,00:00,18997,19060,cf44ba30-7d87-4496-a4e4-4834c74ab9a2,2017-03-01T03:30:00+00:00,Christian Wood
26674,5228,5228,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,30,100.0,44.444,55.6,7,5,0,0,0,0,0,3,Hornets,0,1,109,33:53,18997,19060,cf44ba30-7d87-4496-a4e4-4834c74ab9a2,2017-03-01T03:30:00+00:00,Kemba Walker
26682,5236,5236,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,14,100.0,37.5,0.0,0,10,3,1,2,0,0,3,Magic,1,0,90,26:49,16005,18846,ed2b7c78-345a-40f6-b694-0308878bb98d,2017-03-02T00:00:00+00:00,Nikola Vucevic
26693,5247,5247,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,20,75.0,50.0,28.6,2,9,3,1,3,0,0,1,Knicks,0,1,101,32:54,16005,18846,ed2b7c78-345a-40f6-b694-0308878bb98d,2017-03-02T00:00:00+00:00,Kristaps Porzingis
26702,5256,5256,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,19,60.0,61.538,0.0,4,8,2,1,1,0,0,3,Knicks,0,1,101,32:38,16005,18846,ed2b7c78-345a-40f6-b694-0308878bb98d,2017-03-02T00:00:00+00:00,Derrick Rose
26712,5266,5266,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,15,75.0,66.667,0.0,3,11,3,1,1,0,0,3,Heat,1,1,125,22:07,19609,19600,74f005a0-122c-4f98-8304-f56f4800f147,2017-03-02T00:30:00+00:00,Hassan Whiteside
26722,5276,5276,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,0,0,98,00:00,19609,19600,74f005a0-122c-4f98-8304-f56f4800f147,2017-03-02T00:30:00+00:00,Joel Embiid
26730,5284,5284,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,0,0,98,00:00,19609,19600,74f005a0-122c-4f98-8304-f56f4800f147,2017-03-02T00:30:00+00:00,Ben Simmons
26754,5308,5308,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,6,0.0,60.0,0.0,0,2,1,1,2,0,0,0,Mavericks,0,0,95,16:14,12483,18118,c19dfb75-5550-485b-8e96-3a9c01a0d37f,2017-03-02T00:30:00+00:00,Nerlens Noel
26765,5319,5319,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,7,100.0,25.0,0.0,1,11,7,0,2,0,0,1,Raptors,1,0,96,21:04,19800,19800,f052bc8b-dcd0-49f6-96d2-4376349f7273,2017-03-02T00:30:00+00:00,Jonas Valanciunas
26772,5326,5326,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,24,90.9,35.0,0.0,2,3,0,1,3,0,0,2,Raptors,1,0,96,33:41,19800,19800,f052bc8b-dcd0-49f6-96d2-4376349f7273,2017-03-02T00:30:00+00:00,DeMar DeRozan
26778,5332,5332,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,23,100.0,72.727,16.7,3,1,0,2,2,0,0,1,Wizards,0,1,105,32:28,19800,19800,f052bc8b-dcd0-49f6-96d2-4376349f7273,2017-03-02T00:30:00+00:00,Bradley Beal
26811,5365,5365,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,28,100.0,61.538,33.3,1,2,0,1,4,0,0,2,Cavaliers,0,0,99,32:05,18624,18624,59baa942-b83e-4113-9cf7-6894c3050f44,2017-03-02T01:00:00+00:00,Kyrie Irving
26818,5372,5372,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,28,62.5,46.667,50.0,10,13,5,1,3,0,0,4,Cavaliers,0,0,99,40:02,18624,18624,59baa942-b83e-4113-9cf7-6894c3050f44,2017-03-02T01:00:00+00:00,LeBron James
26831,5385,5385,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,33,100.0,73.333,0.0,3,14,1,0,2,0,0,2,Pelicans,1,1,109,36:28,14406,16867,ddbd4abf-af0b-42fb-95de-ae1cb7e46041,2017-03-02T01:00:00+00:00,Anthony Davis
26843,5397,5397,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,13,10.0,46.154,0.0,0,17,10,1,4,1,0,1,Pistons,0,0,86,28:52,14406,16867,ddbd4abf-af0b-42fb-95de-ae1cb7e46041,2017-03-02T01:00:00+00:00,Andre Drummond
26864,5418,5418,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,15,83.3,41.667,0.0,4,9,2,0,3,0,0,6,Bucks,1,0,98,34:02,13214,18717,e1586682-91c1-4256-9f23-8588b9c8f074,2017-03-02T01:00:00+00:00,Giannis Antetokounmpo
26866,5420,5420,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,21,80.0,44.444,100.0,5,5,1,2,3,0,0,3,Bucks,1,0,98,30:32,13214,18717,e1586682-91c1-4256-9f23-8588b9c8f074,2017-03-02T01:00:00+00:00,Khris Middleton
26873,5427,5427,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,13,50.0,60.0,0.0,10,14,4,1,1,0,0,3,Nuggets,0,1,110,29:41,13214,18717,e1586682-91c1-4256-9f23-8588b9c8f074,2017-03-02T01:00:00+00:00,Nikola Jokic
26885,5439,5439,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,31,100.0,61.538,33.3,2,11,2,3,4,0,0,2,Spurs,1,1,100,34:29,18418,18418,53a937cd-92b2-42cf-88b7-d0337c2cd8e4,2017-03-02T01:30:00+00:00,Kawhi Leonard
26898,5452,5452,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,22,100.0,27.273000000000003,28.6,2,6,0,1,4,0,0,3,Pacers,0,0,99,33:39,18418,18418,53a937cd-92b2-42cf-88b7-d0337c2cd8e4,2017-03-02T01:30:00+00:00,Paul George
26926,5480,5480,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,9,50.0,57.143,0.0,0,8,4,0,3,0,0,3,Jazz,1,0,80,21:11,19127,19911,34e561c6-dfdf-4c07-b43b-b1987e1edad3,2017-03-02T02:00:00+00:00,Rudy Gobert
26938,5492,5492,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,F-C,21,100.0,53.846,66.7,3,15,3,0,2,0,0,4,Timberwolves,0,1,107,35:05,19127,19911,34e561c6-dfdf-4c07-b43b-b1987e1edad3,2017-03-02T02:00:00+00:00,Karl-Anthony Towns
26970,5524,5524,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,10,0.0,83.333,0.0,0,9,3,3,2,0,0,1,Clippers,1,0,103,35:23,19060,19060,c0bd396c-b484-4413-bc71-58c3ed6725b2,2017-03-02T03:30:00+00:00,DeAndre Jordan
26979,5533,5533,Chris,Paul,942c53e3-7268-44e3-b0a9-fdff55a72c03,G,16,100.0,33.333,42.9,11,2,1,2,3,0,1,1,Clippers,1,0,103,35:41,19060,19060,c0bd396c-b484-4413-bc71-58c3ed6725b2,2017-03-02T03:30:00+00:00,Chris Paul
26986,5540,5540,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rockets,0,1,122,00:00,19060,19060,c0bd396c-b484-4413-bc71-58c3ed6725b2,2017-03-02T03:30:00+00:00,Montrezl Harrell
26992,5546,5546,Clint,Capela,c37dafbb-a269-41f6-813f-bdb4da388203,C,14,85.7,44.444,0.0,0,12,6,0,5,0,0,3,Rockets,0,1,122,25:59,19060,19060,c0bd396c-b484-4413-bc71-58c3ed6725b2,2017-03-02T03:30:00+00:00,Clint Capela
26995,5549,5549,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,26,100.0,50.0,44.4,9,3,0,1,4,0,0,7,Rockets,0,1,122,35:33,19060,19060,c0bd396c-b484-4413-bc71-58c3ed6725b2,2017-03-02T03:30:00+00:00,James Harden
27012,5566,5566,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,G-F,22,100.0,46.154,0.0,6,5,0,4,1,0,0,2,Bulls,1,1,94,35:29,22253,20917,70b379b9-a559-461e-a319-d526c175a69a,2017-03-03T01:00:00+00:00,Jimmy Butler
27029,5583,5583,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,15,80.0,50.0,25.0,9,6,0,0,3,0,0,5,Suns,1,1,120,30:09,16572,18422,c667cd90-48b0-4755-aa88-ce1aee950b5a,2017-03-03T02:00:00+00:00,Devin Booker
27047,5601,5601,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hornets,0,0,103,1:38,16572,18422,c667cd90-48b0-4755-aa88-ce1aee950b5a,2017-03-03T02:00:00+00:00,Christian Wood
27051,5605,5605,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,26,75.0,53.846,27.3,8,4,0,2,4,0,1,1,Hornets,0,0,103,35:58,16572,18422,c667cd90-48b0-4755-aa88-ce1aee950b5a,2017-03-03T02:00:00+00:00,Kemba Walker
27060,5614,5614,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,33,88.9,57.143,33.3,5,4,1,1,1,0,0,2,Trail Blazers,1,1,114,37:48,19875,19980,77cf8953-e49b-4e5e-b292-8fc5df88da24,2017-03-03T03:30:00+00:00,Damian Lillard
27075,5629,5629,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,45,100.0,30.0,37.5,4,7,2,1,0,0,0,4,Thunder,0,0,109,36:52,19875,19980,77cf8953-e49b-4e5e-b292-8fc5df88da24,2017-03-03T03:30:00+00:00,Russell Westbrook
27084,5638,5638,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,18,85.7,46.154,0.0,0,10,2,1,3,0,0,2,Thunder,0,0,109,27:57,19875,19980,77cf8953-e49b-4e5e-b292-8fc5df88da24,2017-03-03T03:30:00+00:00,Enes Kanter
27085,5639,5639,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,2,0.0,25.0,0.0,0,6,2,1,5,0,1,3,Thunder,0,0,109,23:49,19875,19980,77cf8953-e49b-4e5e-b292-8fc5df88da24,2017-03-03T03:30:00+00:00,Steven Adams
27086,5640,5640,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,2,0.0,100.0,0.0,1,1,0,0,1,0,0,0,Thunder,0,0,109,10:27,19875,19980,77cf8953-e49b-4e5e-b292-8fc5df88da24,2017-03-03T03:30:00+00:00,Domantas Sabonis
27109,5663,5663,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,43,100.0,69.23100000000001,62.5,9,2,0,4,0,0,0,3,Cavaliers,0,1,135,35:30,18877,18118,3306537c-b9ca-49ac-9fb0-b0daad1f0361,2017-03-04T00:00:00+00:00,Kyrie Irving
27112,5666,5666,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,38,50.0,47.059,60.0,8,13,1,0,4,0,0,2,Cavaliers,0,1,135,39:10,18877,18118,3306537c-b9ca-49ac-9fb0-b0daad1f0361,2017-03-04T00:00:00+00:00,LeBron James
27122,5676,5676,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,1,105,00:00,18518,20328,3b519661-4c53-413a-857d-ddfb378ecf76,2017-03-04T00:00:00+00:00,Joel Embiid
27126,5680,5680,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,1,105,00:00,18518,20328,3b519661-4c53-413a-857d-ddfb378ecf76,2017-03-04T00:00:00+00:00,Ben Simmons
27139,5693,5693,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,20,76.9,38.462,0.0,5,4,1,2,0,0,0,3,Knicks,0,0,102,38:00,18518,20328,3b519661-4c53-413a-857d-ddfb378ecf76,2017-03-04T00:00:00+00:00,Derrick Rose
27147,5701,5701,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,18,100.0,60.0,0.0,1,8,0,1,5,0,0,0,Knicks,0,0,102,31:03,18518,20328,3b519661-4c53-413a-857d-ddfb378ecf76,2017-03-04T00:00:00+00:00,Kristaps Porzingis
27154,5708,5708,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,25,66.7,62.5,50.0,1,9,2,1,2,0,0,0,Magic,1,1,110,32:03,17136,18846,5c6714ba-5b07-4fc5-8f7b-db8cb4698048,2017-03-04T00:00:00+00:00,Nikola Vucevic
27165,5719,5719,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,15,83.3,50.0,0.0,0,18,1,0,2,0,0,1,Heat,0,0,99,34:38,17136,18846,5c6714ba-5b07-4fc5-8f7b-db8cb4698048,2017-03-04T00:00:00+00:00,Hassan Whiteside
27188,5742,5742,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,27,80.0,53.846,37.5,4,7,4,1,4,0,0,2,Wizards,1,0,106,35:56,20356,20356,89d82774-f72e-4ff2-bc26-9e47b6b37999,2017-03-04T00:00:00+00:00,Bradley Beal
27192,5746,5746,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,32,75.0,50.0,100.0,5,13,2,0,2,0,0,4,Raptors,0,1,114,37:55,20356,20356,89d82774-f72e-4ff2-bc26-9e47b6b37999,2017-03-04T00:00:00+00:00,DeMar DeRozan
27196,5750,5750,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,2,0.0,50.0,0.0,0,3,1,0,3,0,0,2,Raptors,0,1,114,12:56,20356,20356,89d82774-f72e-4ff2-bc26-9e47b6b37999,2017-03-04T00:00:00+00:00,Jonas Valanciunas
27204,5758,5758,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,24,80.0,76.923,0.0,8,5,0,2,4,0,0,1,Bucks,1,1,112,31:27,16208,18717,bee1f55a-f4a6-4d95-aad6-068a1e5c277f,2017-03-04T01:00:00+00:00,Giannis Antetokounmpo
27215,5769,5769,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,19,100.0,55.556,25.0,9,4,0,4,3,0,0,2,Bucks,1,1,112,33:08,16208,18717,bee1f55a-f4a6-4d95-aad6-068a1e5c277f,2017-03-04T01:00:00+00:00,Khris Middleton
27219,5773,5773,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,14,30.8,71.429,0.0,0,10,3,0,4,0,0,1,Clippers,0,0,101,32:07,16208,18717,bee1f55a-f4a6-4d95-aad6-068a1e5c277f,2017-03-04T01:00:00+00:00,DeAndre Jordan
27232,5786,5786,Chris,Paul,942c53e3-7268-44e3-b0a9-fdff55a72c03,G,21,100.0,40.0,83.3,5,4,0,1,5,0,1,4,Clippers,0,0,101,29:23,16208,18717,bee1f55a-f4a6-4d95-aad6-068a1e5c277f,2017-03-04T01:00:00+00:00,Chris Paul
27238,5792,5792,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,15,50.0,60.0,0.0,2,17,4,1,3,0,0,0,Mavericks,1,1,104,35:24,19480,19200,e9a122f4-62c6-4119-b833-dad99a864935,2017-03-04T01:30:00+00:00,Nerlens Noel
27274,5828,5828,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,11,50.0,100.0,0.0,0,7,0,0,3,0,0,2,Jazz,1,1,112,33:00,19911,19911,313d2033-67fa-4322-9f67-98d51dc438d9,2017-03-04T02:00:00+00:00,Rudy Gobert
27306,5860,5860,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,17,83.3,50.0,28.6,3,7,0,0,2,0,0,6,Suns,1,1,118,33:29,18055,18422,bbb15824-fcb9-430a-9273-8c59fbcdf487,2017-03-04T02:00:00+00:00,Devin Booker
27310,5864,5864,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,9,50.0,75.0,0.0,1,10,3,1,6,0,0,2,Thunder,0,0,111,29:57,18055,18422,bbb15824-fcb9-430a-9273-8c59fbcdf487,2017-03-04T02:00:00+00:00,Steven Adams
27311,5865,5865,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,11,100.0,50.0,0.0,1,5,2,0,1,0,0,1,Thunder,0,0,111,22:56,18055,18422,bbb15824-fcb9-430a-9273-8c59fbcdf487,2017-03-04T02:00:00+00:00,Enes Kanter
27318,5872,5872,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,11,50.0,66.667,100.0,0,3,1,1,2,0,0,0,Thunder,0,0,111,13:10,18055,18422,bbb15824-fcb9-430a-9273-8c59fbcdf487,2017-03-04T02:00:00+00:00,Domantas Sabonis
27321,5875,5875,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,48,94.4,61.111,25.0,9,17,1,3,4,0,1,4,Thunder,0,0,111,38:05,18055,18422,bbb15824-fcb9-430a-9273-8c59fbcdf487,2017-03-04T02:00:00+00:00,Russell Westbrook
27336,5890,5890,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,29,87.5,40.0,33.3,3,8,1,1,4,0,0,3,Pelicans,1,0,98,42:18,17669,16867,4adf3da2-6e80-4929-b554-4c0cd9f7d7c6,2017-03-04T02:30:00+00:00,Anthony Davis
27344,5898,5898,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,31,80.0,47.619,20.0,6,7,1,3,1,0,0,1,Spurs,0,1,101,39:46,17669,16867,4adf3da2-6e80-4929-b554-4c0cd9f7d7c6,2017-03-04T02:30:00+00:00,Kawhi Leonard
27359,5913,5913,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,8,0.0,50.0,0.0,3,1,0,2,2,0,0,0,Lakers,1,0,95,22:31,18997,19060,2390fb84-655c-4ec3-9c6c-e72f11bd363e,2017-03-04T03:30:00+00:00,Ivica Zubac
27392,5946,5946,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,106,00:00,19523,20328,cab736be-50bb-40fd-99ab-22aea2f9ad40,2017-03-04T23:00:00+00:00,Ben Simmons
