,game_id,home_team_id,away_team_id,home_team_name,away_team_name,date,home_points,away_points,Season
60,1f3797a3-6a50-44ad-953a-84f2bab281a1,0699edf3-5993-4182-b9b4-ec935cbd4fcc,5f0b5caf-708b-4300-92f2-53b51d83ec06,Phoenix Mercury,Dallas Wings,2020-08-16T17:00:00Z,89,95,2020
61,f710bcc1-0a57-4a57-a269-f75c02ac6878,a015b02d-845c-40c1-8ef4-844984f47e4d,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Connecticut Sun,Seattle Storm,2020-08-16T19:00:00Z,72,95,2020
62,71dae6d7-1162-4ef9-805c-1660d1de9cf9,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,3c409388-ab73-4c7f-953d-3a71062240f6,Atlanta Dream,Chicago Sky,2020-08-16T20:00:00Z,67,92,2020
63,636f5ffc-2155-419d-8f7d-9841224d35c3,a015b02d-845c-40c1-8ef4-844984f47e4d,f073a15f-0486-4179-b0a3-dfd0294eb595,Connecticut Sun,Indiana Fever,2020-08-18T23:00:00Z,84,62,2020
64,f122377f-83e3-4a5c-a2b0-11102a68f36f,3c409388-ab73-4c7f-953d-3a71062240f6,171b097d-01db-4ae8-9d56-035689402ec6,Chicago Sky,Las Vegas Aces,2020-08-19T01:00:00Z,84,82,2020
65,f40300ba-a812-471c-af1e-fee2a49a5406,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Seattle Storm,New York Liberty,2020-08-19T02:00:00Z,105,64,2020
66,562d4da6-bfd6-46d4-a471-acc451ab3ce9,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Washington Mystics,Atlanta Dream,2020-08-19T23:00:00Z,98,91,2020
67,eae835f4-1de1-4e94-884d-920b8865fa16,6f017f37-be96-4bdc-b6d3-0a0429c72e89,5f0b5caf-708b-4300-92f2-53b51d83ec06,Minnesota Lynx,Dallas Wings,2020-08-20T01:00:00Z,91,84,2020
68,cef6f72b-2366-41dc-be84-18e73aa4d9e6,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Los Angeles Sparks,Phoenix Mercury,2020-08-20T02:00:00Z,83,74,2020
69,18ace43c-dc12-4fa8-90ca-092d7d5dd84f,08ed8274-e29f-4248-bc2e-83cc8ed18d75,3c409388-ab73-4c7f-953d-3a71062240f6,New York Liberty,Chicago Sky,2020-08-20T23:00:00Z,85,101,2020
