,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date
1356,Marcus,Smart,af460d21-b1d8-46bb-a228-61ac4fb9ccf9,G,19,100.0,0.0,54.5,1,3,0,0,3,0,0,5,Celtics,0,1,102,38:36,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1357,Brad,Wanamaker,3c09ef8a-a6f2-4500-9599-ca7bc8d54300,G,0,0.0,0.0,0.0,1,2,0,0,2,0,0,1,Celtics,0,1,102,8:33,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1358,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,17,80.0,50.0,12.5,4,6,0,0,1,0,0,2,Celtics,0,1,102,38:16,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1359,Tremont,Waters,ce5297ca-d8bc-4210-ad67-d52382258e96,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Celtics,0,1,102,00:00,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1360,Semi,Ojeleye,e9bfd179-878d-4c04-acc7-2ed289d62b65,F,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,Celtics,0,1,102,10:02,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1361,Jaylen,Brown,ffc5579c-783f-4d62-80ab-3c3dcb05a27d,F,16,100.0,40.0,37.5,2,8,0,3,4,0,0,4,Celtics,0,1,102,35:56,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1362,Tacko,Fall,24052c17-95a8-4905-9ecf-5e8ef4ceccc4,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Celtics,0,1,102,00:00,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1363,Daniel,Theis,e18e9d0a-97b9-470d-b0a6-0c401ae0e0a0,C,3,0.0,0.0,100.0,2,9,0,1,3,0,0,0,Celtics,0,1,102,30:27,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1364,Javonte,Green,252f4b13-6abb-45dc-ae85-f822b817cb51,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Celtics,0,1,102,00:00,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1365,Vincent,Poirier,2a890c03-d0d5-4eec-a488-d2cc34fa2ade,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Celtics,0,1,102,00:00,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1366,Grant,Williams,59209028-6712-47ef-b87c-bdb19f91523b,F,2,0.0,50.0,0.0,2,4,2,0,4,0,0,0,Celtics,0,1,102,18:31,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1367,Robert,Williams III,c20dfb58-5622-405e-90b1-92b79ee97461,C-F,11,50.0,100.0,0.0,0,4,2,0,2,0,0,1,Celtics,0,1,102,17:33,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1368,Romeo,Langford,cfca106e-f7a4-4ea3-a805-4505a3bf74c6,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Celtics,0,1,102,00:00,Covid,1200,5e405852-5cc4-4c9d-bf93-20e064396e21,2020-09-01T21:30:00+00:00
1369,Vlatko,Cancar,957e63a8-d87d-47d2-89cc-416afa292d80,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1370,Will,Barton,85e1279a-77c4-49a7-bfa0-7699e64b581f,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1371,Noah,Vonleh,84215e01-6108-4fd0-9a11-19e9518ab378,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1372,Keita,Bates-Diop,af3416bc-38fb-46ca-9b03-72a88d7fda35,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1373,PJ,Dozier,ee06e9d2-98bf-487d-96a5-4954c25b75ef,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1374,Jamal,Murray,685576ef-ea6c-4ccf-affd-18916baf4e60,G,17,100.0,40.0,16.7,4,2,0,1,1,0,0,2,Nuggets,1,1,80,41:21,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1375,Tyler,Cook,28b555ef-3b7d-46e9-b291-643a639086e7,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1376,Mason,Plumlee,9570a938-324f-40e8-92dd-8a4fcf4a953b,F-C,0,0.0,0.0,0.0,0,3,0,0,1,0,0,0,Nuggets,1,1,80,8:21,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1377,Paul,Millsap,59f6f688-7000-4cf5-a27f-a1980dd86d93,F,2,0.0,100.0,0.0,2,1,0,0,3,0,0,1,Nuggets,1,1,80,14:22,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1378,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,30,100.0,55.6,40.0,4,14,3,0,5,0,0,2,Nuggets,1,1,80,38:55,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1379,Troy,Daniels,562677c1-2a13-4934-a801-a6c88c619e83,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1380,Michael,Porter Jr.,3a7d6510-00e9-4265-81df-864a1f547269,F,10,60.0,50.0,33.3,2,9,3,2,1,0,0,3,Nuggets,1,1,80,17:05,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1381,Jerami,Grant,5b315e15-6633-4ce2-8200-71b821553314,F,3,0.0,0.0,33.3,1,5,0,0,1,0,0,2,Nuggets,1,1,80,35:20,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1382,Torrey,Craig,c14eba17-879a-461e-9413-bf71a378de6e,F,7,0.0,50.0,20.0,2,7,0,0,2,0,0,0,Nuggets,1,1,80,33:38,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1383,Monte,Morris,48b05ddf-0a9f-4426-9394-231c54726eaa,G,7,0.0,50.0,25.0,5,3,0,3,1,0,0,0,Nuggets,1,1,80,24:49,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1384,Bol,Bol,6395ff32-c9b6-4ad0-8f0f-dce474274725,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Nuggets,1,1,80,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1385,Gary,Harris,6b5d0264-fa2d-4956-919b-61abfc6bb8d7,G,4,50.0,0.0,20.0,1,2,2,1,3,0,0,0,Nuggets,1,1,80,26:09,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1386,Mike,Conley,460b7264-b98f-483e-b841-59a18c2e4d67,G,8,75.0,14.3,16.7,7,4,1,3,1,0,0,1,Jazz,0,0,78,39:58,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1387,Joe,Ingles,5b297372-b2af-445e-a4bc-777982dbc1e3,F,7,0.0,40.0,20.0,5,8,1,0,2,0,0,0,Jazz,0,0,78,38:42,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1388,Rayjon,Tucker,847ab791-26a2-439e-9c66-0c4a77a93b82,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1389,Royce,O'Neale,32526c95-bc6e-4d28-a751-c4200904d80b,F,5,0.0,50.0,25.0,1,4,0,2,2,0,0,1,Jazz,0,0,78,41:40,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1390,Donovan,Mitchell,b6dde96e-3748-4cbe-86d2-798d5dffb3c0,G,22,100.0,50.0,25.0,1,9,1,0,3,0,0,9,Jazz,0,0,78,42:53,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1391,Justin,Wright-Foreman,81d3ce4b-c47a-46f2-87aa-282cf4a6e82a,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1392,Nigel,Williams-Goss,275f6aed-de63-4bd5-86b2-865113b12053,G,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1393,Ed,Davis,9dbc15ee-deec-4c8c-86e9-71396ff80ef8,C-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
1394,Jarrell,Brantley,9208711c-a497-4400-8f4a-42b886c19b72,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Jazz,0,0,78,00:00,Covid,8000,317f9564-a3c2-4e33-bdbc-19400813e224,2020-09-02T00:30:00+00:00
