,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
58,59,Myles Turner_turnemy01,IND,11,11,31.2,5.5,10.4,0.526,1.4,3.2,0.429,2.4,3.7,0.634,2.5,5.7,8.2,1.3,0.5,2.5,2.4,3.7,14.6,11.8,Myles Turner,turnemy01
59,60,Tyler Herro_herroty01,MIA,29,7,32.2,5.9,13.0,0.452,2.2,6.0,0.376,2.3,2.6,0.907,0.3,4.7,5.0,3.7,0.4,0.1,2.0,1.7,16.3,11.6,Tyler Herro,herroty01
60,61,Troy Brown_browntr01,WAS,8,8,32.9,5.5,14.5,0.379,1.4,4.3,0.324,2.9,3.1,0.92,1.5,5.8,7.3,4.5,1.1,0.1,1.8,2.8,15.3,11.5,Troy Brown,browntr01
61,62,Dillon Brooks_brookdi01,MEM,8,8,32.6,7.9,17.9,0.441,1.9,6.6,0.28300000000000003,2.5,3.1,0.8,0.9,2.9,3.8,2.8,0.8,0.3,2.0,4.0,20.1,11.2,Dillon Brooks,brookdi01
62,63,Michael Porter_portemi01,DEN,26,10,26.3,5.1,10.1,0.504,2.0,5.2,0.396,2.0,2.5,0.828,1.3,5.9,7.2,1.0,0.8,0.5,1.5,2.6,14.2,11.0,Michael Porter,portemi01
63,64,Pascal Siakam_siakapa01,TOR,18,18,35.9,6.3,15.9,0.395,1.4,5.4,0.265,2.9,4.1,0.716,1.2,5.7,6.8,3.2,1.1,0.4,2.1,2.9,16.9,10.8,Pascal Siakam,siakapa01
64,65,Jonathan Isaac_isaacjo01,ORL,2,0,15.5,3.5,5.0,0.7,1.0,1.5,0.667,2.0,2.0,1.0,0.5,4.0,4.5,2.0,1.5,0.0,1.0,2.0,10.0,10.6,Jonathan Isaac,isaacjo01
65,66,Brandon Clarke_clarkbr01,MEM,8,1,26.7,5.3,8.9,0.5920000000000001,0.3,1.5,0.16699999999999998,1.5,2.4,0.632,1.8,4.9,6.6,1.1,0.8,0.8,1.1,2.3,12.3,10.5,Brandon Clarke,clarkbr01
66,67,Serge Ibaka_ibakase01,TOR,16,0,22.4,5.2,9.8,0.529,1.7,3.8,0.44299999999999995,0.9,1.2,0.737,1.7,6.0,7.7,1.1,0.4,1.1,1.3,2.6,12.9,10.5,Serge Ibaka,ibakase01
67,68,Ish Smith_smithis01,WAS,8,4,27.2,5.8,13.5,0.426,0.9,2.4,0.368,1.8,2.0,0.875,0.3,3.5,3.8,6.1,0.9,0.8,2.3,2.8,14.1,10.4,Ish Smith,smithis01
