,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Twitter_handle
209,158,Bryn Forbes_forbebr01,SG,26,SAS,63,62,1579,242,581,0.41700000000000004,148,381,0.38799999999999996,94,200,0.47,0.544,75,90,0.833,12,114,126,108,33,0,57,113,707,Bryn Forbes,forbebr01
210,159,Evan Fournier_fournev01,SG,27,ORL,66,66,2076,434,929,0.467,173,434,0.39899999999999997,261,495,0.527,0.56,180,220,0.818,18,153,171,209,71,15,125,161,1221,Evan Fournier,fournev01
211,160,De'Aaron Fox_foxde01,PG,22,SAC,51,49,1634,391,815,0.48,54,185,0.292,337,630,0.535,0.513,241,342,0.705,35,161,196,348,74,25,158,145,1077,De'Aaron Fox,foxde01
212,161,Melvin Frazier_frazime01,SG,23,ORL,19,0,126,15,34,0.441,8,16,0.5,7,18,0.389,0.5589999999999999,2,4,0.5,2,8,10,3,9,2,5,11,40,Melvin Frazier,frazime01
213,162,Michael Frazier_frazimi01,SG,25,HOU,13,0,145,7,29,0.24100000000000002,4,23,0.174,3,6,0.5,0.31,9,14,0.643,1,9,10,2,2,0,5,22,27,Michael Frazier,frazimi01
214,163,Tim Frazier_fraziti01,PG,29,DET,27,11,355,34,94,0.36200000000000004,10,30,0.33299999999999996,24,64,0.375,0.415,19,24,0.792,9,24,33,93,14,4,36,42,97,Tim Frazier,fraziti01
215,164,Markelle Fultz_fultzma01,PG,21,ORL,72,60,1996,359,772,0.465,36,135,0.267,323,637,0.507,0.488,116,159,0.73,41,197,238,369,90,11,147,142,870,Markelle Fultz,fultzma01
216,165,Wenyen Gabriel_gabriwe01,PF,22,TOT,30,1,235,21,48,0.43799999999999994,6,20,0.3,15,28,0.536,0.5,15,22,0.682,21,31,52,8,11,7,16,39,63,Wenyen Gabriel,gabriwe01
217,165,Wenyen Gabriel_gabriwe01,PF,22,SAC,11,0,61,6,17,0.353,1,8,0.125,5,9,0.556,0.382,6,10,0.6,4,6,10,3,3,2,5,7,19,Wenyen Gabriel,gabriwe01
218,165,Wenyen Gabriel_gabriwe01,PF,22,POR,19,1,174,15,31,0.484,5,12,0.41700000000000004,10,19,0.526,0.565,9,12,0.75,17,25,42,5,8,5,11,32,44,Wenyen Gabriel,gabriwe01
219,166,Daniel Gafford_gaffoda01,C,21,CHI,43,7,609,94,134,0.701,0,0,,94,134,0.701,0.701,32,60,0.5329999999999999,52,54,106,21,13,56,29,98,220,Daniel Gafford,gaffoda01
220,167,Danilo Gallinari_gallida01,PF,31,OKC,62,62,1834,358,817,0.43799999999999994,178,439,0.405,180,378,0.47600000000000003,0.547,266,298,0.893,34,288,322,119,42,5,76,75,1160,Danilo Gallinari,gallida01
221,168,Langston Galloway_gallola01,SG,28,DET,66,6,1702,236,542,0.435,132,331,0.39899999999999997,104,211,0.493,0.557,73,85,0.8590000000000001,33,116,149,101,48,11,40,96,677,Langston Galloway,gallola01
222,169,Darius Garland_garlada01,PG,20,CLE,59,59,1824,280,699,0.401,105,296,0.355,175,403,0.434,0.47600000000000003,63,72,0.875,27,84,111,229,42,4,151,92,728,Darius Garland,garlada01
223,170,Marc Gasol_gasolma01,C,35,TOR,44,43,1161,119,279,0.42700000000000005,57,148,0.385,62,131,0.473,0.529,36,49,0.735,31,244,275,147,34,38,59,124,331,Marc Gasol,gasolma01
224,171,Rudy Gay_gayru01,PF,33,SAS,67,5,1461,266,596,0.446,74,220,0.336,192,376,0.511,0.508,120,136,0.882,61,301,362,114,35,33,88,103,726,Rudy Gay,gayru01
225,172,Paul George_georgpa01,SF,29,LAC,48,48,1419,343,782,0.439,157,381,0.41200000000000003,186,401,0.46399999999999997,0.539,190,217,0.8759999999999999,24,248,272,185,68,20,125,113,1033,Paul George,georgpa01
226,173,Taj Gibson_gibsota01,C,34,NYK,62,56,1025,167,286,0.584,4,14,0.28600000000000003,163,272,0.599,0.591,41,56,0.732,111,156,267,52,27,30,47,122,379,Taj Gibson,gibsota01
227,174,Harry Giles_gilesha01,PF,21,SAC,46,17,667,139,251,0.5539999999999999,0,2,0.0,139,249,0.5579999999999999,0.5539999999999999,38,49,0.7759999999999999,43,145,188,60,22,18,44,119,316,Harry Giles,gilesha01
228,175,Shai Gilgeous-Alexander_gilgesh01,SG,21,OKC,70,70,2428,478,1015,0.47100000000000003,87,251,0.34700000000000003,391,764,0.512,0.514,288,357,0.807,47,365,412,232,79,47,134,117,1331,Shai Gilgeous-Alexander,gilgesh01
229,176,Rudy Gobert_goberru01,C,27,UTA,68,68,2333,386,557,0.693,0,0,,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026,Rudy Gobert,goberru01
230,177,Brandon Goodwin_goodwbr01,PG,24,ATL,34,1,430,76,190,0.4,26,87,0.299,50,103,0.485,0.46799999999999997,28,30,0.9329999999999999,11,61,72,51,12,4,29,43,206,Brandon Goodwin,goodwbr01
231,178,Aaron Gordon_gordoaa01,PF,24,ORL,62,62,2017,335,767,0.43700000000000006,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894,Aaron Gordon,gordoaa01
232,179,Eric Gordon_gordoer01,SF,31,HOU,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.7659999999999999,9,62,71,54,23,13,43,70,520,Eric Gordon,gordoer01
233,180,Devonte' Graham_grahade01,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145,Devonte' Graham,grahade01
234,181,Treveon Graham_grahatr01,SG,26,TOT,55,20,929,87,242,0.36,33,120,0.275,54,122,0.44299999999999995,0.428,36,56,0.643,51,99,150,45,24,6,29,102,243,Treveon Graham,grahatr01
235,181,Treveon Graham_grahatr01,SG,26,MIN,33,20,663,62,175,0.354,20,83,0.24100000000000002,42,92,0.457,0.41100000000000003,27,37,0.73,29,71,100,30,17,2,19,66,171,Treveon Graham,grahatr01
236,181,Treveon Graham_grahatr01,SG,26,ATL,22,0,266,25,67,0.373,13,37,0.35100000000000003,12,30,0.4,0.47,9,19,0.474,22,28,50,15,7,4,10,36,72,Treveon Graham,grahatr01
237,182,Jerami Grant_grantje01,PF,25,DEN,71,24,1892,303,634,0.478,98,252,0.389,205,382,0.537,0.555,147,196,0.75,58,190,248,88,50,57,63,154,851,Jerami Grant,grantje01
238,183,Jerian Grant_grantje02,PG,27,WAS,6,0,80,10,27,0.37,2,8,0.25,8,19,0.42100000000000004,0.40700000000000003,5,7,0.7140000000000001,2,4,6,9,1,1,3,11,27,Jerian Grant,grantje02
239,184,Josh Gray_grayjo01,PG,26,NOP,2,0,23,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,2,0,0,5,1,2,Josh Gray,grayjo01
240,185,Danny Green_greenda02,SG,32,LAL,68,68,1687,197,474,0.41600000000000004,120,327,0.36700000000000005,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547,Danny Green,greenda02
241,186,Draymond Green_greendr01,PF,29,GSW,43,43,1222,123,316,0.389,36,129,0.27899999999999997,87,187,0.465,0.446,63,83,0.759,23,243,266,266,59,33,98,110,345,Draymond Green,greendr01
