Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
41,Rudy Gay\gayru01,SAS,7,0,24.8,6.3,13.4,.468,2.3,5.0,.457,3.0,3.3,.913,0.7,5.0,5.7,1.9,1.3,0.7,1.4,2.0,17.9,13.7
42,Joe Harris\harrijo01,BRK,8,8,31.2,7.6,12.8,.598,3.4,6.1,.551,0.5,1.3,.400,0.8,5.0,5.8,2.0,0.5,0.1,1.8,3.8,19.1,13.7
43,Khris Middleton\middlkh01,MIL,17,17,32.6,6.9,16.3,.426,2.2,5.9,.366,4.0,4.5,.883,0.5,5.9,6.5,5.9,0.8,0.1,3.4,3.6,20.1,13.5
44,Kemba Walker\walkeke02,BOS,23,23,33.9,6.1,13.6,.450,2.3,7.0,.335,3.6,4.3,.847,0.4,3.2,3.6,4.7,0.7,0.4,1.8,2.5,18.2,13.5
45,Goran Dragić\dragigo01,MIA,22,18,31.1,6.7,15.0,.450,2.0,6.0,.326,3.2,3.9,.814,0.7,3.4,4.1,4.7,1.2,0.2,2.3,3.1,18.6,13.1
46,Aaron Gordon\gordoaa01,ORL,4,4,25.9,5.3,10.3,.512,1.3,2.8,.455,3.5,5.3,.667,1.0,7.5,8.5,3.3,0.3,0.8,1.5,2.3,15.3,13.1
47,Deandre Ayton\aytonde01,PHO,8,7,30.0,6.9,12.9,.534,0.4,1.3,.300,0.9,1.4,.636,3.0,6.5,9.5,1.9,0.5,0.9,1.1,2.5,15.0,12.9
48,Shai Gilgeous-Alexander\gilgesh01,OKC,14,14,35.2,5.4,12.1,.441,1.6,4.6,.359,4.0,4.5,.889,0.4,4.3,4.6,3.8,1.1,0.4,2.3,1.9,16.4,12.4
49,Brandon Ingram\ingrabr01,NOP,6,6,30.8,6.3,15.0,.422,2.2,5.0,.433,5.0,6.3,.789,0.3,4.7,5.0,3.0,0.8,0.2,2.5,2.8,19.8,12.4
50,Russell Westbrook\westbru01,HOU,12,12,33.9,7.9,18.5,.428,1.0,3.8,.267,3.2,5.5,.576,1.4,5.3,6.8,5.7,1.4,0.4,4.1,3.0,20.0,12.3
51,Keldon Johnson\johnske04,SAS,8,1,26.1,4.6,7.3,.638,1.4,2.1,.647,3.5,4.3,.824,0.6,4.4,5.0,1.1,1.1,0.1,1.3,2.4,14.1,12.2
52,J.J. Redick\redicjj01,NOP,6,1,26.0,5.8,12.2,.479,4.0,8.7,.462,3.0,3.7,.818,0.2,1.7,1.8,1.8,0.2,0.2,1.7,1.7,18.7,12.1
53,Ricky Rubio\rubiori01,PHO,8,8,26.8,4.4,10.1,.432,1.5,3.5,.429,2.6,2.8,.955,0.5,4.4,4.9,7.9,0.8,0.3,2.3,3.0,12.9,12.1
54,Gordon Hayward\haywago01,BOS,12,8,33.0,5.4,11.9,.455,1.5,4.8,.316,3.1,3.5,.881,1.1,5.1,6.2,3.4,0.8,0.3,2.0,2.1,15.4,12.0
55,Zion Williamson\willizi01,NOP,5,5,20.7,7.6,13.6,.559,0.0,0.2,.000,3.2,5.2,.615,1.8,2.4,4.2,1.8,0.0,0.0,1.6,2.0,18.4,12.0
56,Cameron Johnson\johnsca02,PHO,8,8,32.4,5.0,10.0,.500,1.9,5.4,.349,1.4,1.4,1.000,1.3,4.6,5.9,2.1,0.8,0.5,0.4,2.0,13.3,11.9
57,Dario Šarić\saricda01,PHO,8,1,23.8,4.9,8.5,.574,1.4,2.6,.524,3.6,4.1,.879,1.4,6.3,7.6,1.8,0.4,0.1,2.0,3.0,14.8,11.9
58,Jahlil Okafor\okafoja01,NOP,2,0,21.4,6.5,9.0,.722,0.0,0.5,.000,1.5,2.0,.750,1.0,3.0,4.0,0.5,0.0,1.5,1.0,2.0,14.5,11.8
59,Myles Turner\turnemy01,IND,11,11,31.2,5.5,10.4,.526,1.4,3.2,.429,2.4,3.7,.634,2.5,5.7,8.2,1.3,0.5,2.5,2.4,3.7,14.6,11.8
60,Tyler Herro\herroty01,MIA,29,7,32.2,5.9,13.0,.452,2.2,6.0,.376,2.3,2.6,.907,0.3,4.7,5.0,3.7,0.4,0.1,2.0,1.7,16.3,11.6
61,Troy Brown\browntr01,WAS,8,8,32.9,5.5,14.5,.379,1.4,4.3,.324,2.9,3.1,.920,1.5,5.8,7.3,4.5,1.1,0.1,1.8,2.8,15.3,11.5
62,Dillon Brooks\brookdi01,MEM,8,8,32.6,7.9,17.9,.441,1.9,6.6,.283,2.5,3.1,.800,0.9,2.9,3.8,2.8,0.8,0.3,2.0,4.0,20.1,11.2
63,Michael Porter\portemi01,DEN,26,10,26.3,5.1,10.1,.504,2.0,5.2,.396,2.0,2.5,.828,1.3,5.9,7.2,1.0,0.8,0.5,1.5,2.6,14.2,11.0
64,Pascal Siakam\siakapa01,TOR,18,18,35.9,6.3,15.9,.395,1.4,5.4,.265,2.9,4.1,.716,1.2,5.7,6.8,3.2,1.1,0.4,2.1,2.9,16.9,10.8
65,Jonathan Isaac\isaacjo01,ORL,2,0,15.5,3.5,5.0,.700,1.0,1.5,.667,2.0,2.0,1.000,0.5,4.0,4.5,2.0,1.5,0.0,1.0,2.0,10.0,10.6
66,Brandon Clarke\clarkbr01,MEM,8,1,26.7,5.3,8.9,.592,0.3,1.5,.167,1.5,2.4,.632,1.8,4.9,6.6,1.1,0.8,0.8,1.1,2.3,12.3,10.5
67,Serge Ibaka\ibakase01,TOR,16,0,22.4,5.2,9.8,.529,1.7,3.8,.443,0.9,1.2,.737,1.7,6.0,7.7,1.1,0.4,1.1,1.3,2.6,12.9,10.5
68,Ish Smith\smithis01,WAS,8,4,27.2,5.8,13.5,.426,0.9,2.4,.368,1.8,2.0,.875,0.3,3.5,3.8,6.1,0.9,0.8,2.3,2.8,14.1,10.4
69,Harrison Barnes\barneha02,SAC,8,8,31.3,4.9,10.3,.476,1.1,3.1,.360,2.3,2.9,.783,2.0,4.1,6.1,0.9,0.6,0.3,1.0,1.4,13.1,10.2
70,Mikal Bridges\bridgmi01,PHO,8,8,33.7,4.6,9.6,.481,1.8,4.4,.400,1.8,2.1,.824,0.9,3.3,4.1,1.8,1.1,0.9,1.0,2.6,12.8,10.2
71,Robert Covington\covinro01,HOU,20,20,32.4,3.6,8.5,.424,2.4,6.2,.379,1.0,1.2,.826,0.9,5.5,6.3,1.5,2.5,1.3,1.1,3.5,10.5,10.1
72,Tim Hardaway\hardati02,DAL,14,14,34.3,5.6,13.4,.417,2.7,8.0,.339,2.6,3.0,.857,0.4,3.6,3.9,1.7,0.3,0.0,0.8,2.6,16.4,10.1
73,Carmelo Anthony\anthoca01,POR,13,13,35.0,5.8,13.2,.439,1.8,3.9,.451,2.7,3.2,.854,0.8,5.3,6.2,1.2,1.1,0.5,2.0,3.8,16.0,9.9
74,Eric Gordon\gordoer01,HOU,14,14,32.4,5.8,14.4,.403,2.4,7.5,.314,2.8,3.1,.886,0.5,2.2,2.7,2.7,0.8,0.6,2.2,2.0,16.7,9.9
75,Jrue Holiday\holidjr01,NOP,6,6,32.5,6.2,12.5,.493,1.2,4.0,.292,1.7,2.0,.833,1.2,3.0,4.2,5.0,1.2,0.7,4.3,3.3,15.2,9.9
76,Marcus Smart\smartma01,BOS,24,17,35.3,3.9,10.3,.379,2.1,6.3,.333,2.9,3.4,.864,0.5,4.1,4.6,4.7,1.5,0.4,2.5,3.1,12.8,9.9
77,Danilo Gallinari\gallida01,OKC,14,14,25.4,4.4,10.5,.415,1.8,5.2,.342,4.4,4.6,.953,0.5,3.6,4.1,0.9,0.5,0.1,1.5,1.4,14.9,9.8
78,Ivica Zubac\zubaciv01,LAC,21,21,23.3,3.7,6.0,.614,0.0,0.0,,2.2,3.0,.758,3.0,5.4,8.3,1.0,0.2,0.8,1.0,2.7,9.7,9.8
