Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Thu Aug 6 2015,Tulsa Shock,57,Los Angeles Sparks,84,Box Score
Fri Aug 7 2015,New York Liberty,77,Chicago Sky,63,Box Score
Fri Aug 7 2015,Washington Mystics,72,Connecticut Sun,86,Box Score
Fri Aug 7 2015,Atlanta Dream,77,Indiana Fever,106,Box Score
Fri Aug 7 2015,Minnesota Lynx,66,Phoenix Mercury,73,Box Score
Sat Aug 8 2015,Seattle Storm,81,San Antonio Silver Stars,88,Box Score
Sun Aug 9 2015,Phoenix Mercury,64,Chicago Sky,74,Box Score
Sun Aug 9 2015,Los Angeles Sparks,64,Minnesota Lynx,72,Box Score
Sun Aug 9 2015,Atlanta Dream,98,Tulsa Shock,90,Box Score
Sun Aug 9 2015,Connecticut Sun,73,Washington Mystics,84,Box Score
Tue Aug 11 2015,Seattle Storm,85,Los Angeles Sparks,77,Box Score
Tue Aug 11 2015,San Antonio Silver Stars,76,Minnesota Lynx,83,Box Score
Tue Aug 11 2015,Chicago Sky,63,New York Liberty,84,Box Score
Tue Aug 11 2015,Indiana Fever,73,Washington Mystics,62,Box Score
Wed Aug 12 2015,Tulsa Shock,74,Connecticut Sun,80,Box Score
Wed Aug 12 2015,Seattle Storm,66,Phoenix Mercury,83,Box Score
Fri Aug 14 2015,Minnesota Lynx,84,Atlanta Dream,82,Box Score
Fri Aug 14 2015,New York Liberty,90,Connecticut Sun,78,Box Score
Fri Aug 14 2015,Chicago Sky,94,Seattle Storm,84,Box Score
Sat Aug 15 2015,Tulsa Shock,81,New York Liberty,76,Box Score
Sun Aug 16 2015,Connecticut Sun,77,Atlanta Dream,90,Box Score
Sun Aug 16 2015,Chicago Sky,64,Los Angeles Sparks,76,Box Score
Sun Aug 16 2015,Indiana Fever,75,Phoenix Mercury,63,Box Score
Sun Aug 16 2015,San Antonio Silver Stars,63,Seattle Storm,72,Box Score
Sun Aug 16 2015,Minnesota Lynx,69,Washington Mystics,77,Box Score
Tue Aug 18 2015,Indiana Fever,79,Los Angeles Sparks,68,Box Score
Tue Aug 18 2015,Phoenix Mercury,59,Tulsa Shock,74,Box Score
Wed Aug 19 2015,Washington Mystics,79,Minnesota Lynx,61,Box Score
Wed Aug 19 2015,New York Liberty,73,San Antonio Silver Stars,45,Box Score
Fri Aug 21 2015,Washington Mystics,85,Chicago Sky,87,Box Score
Fri Aug 21 2015,Atlanta Dream,67,New York Liberty,78,Box Score
Fri Aug 21 2015,Los Angeles Sparks,78,Phoenix Mercury,68,Box Score
Fri Aug 21 2015,Minnesota Lynx,78,San Antonio Silver Stars,61,Box Score
Fri Aug 21 2015,Indiana Fever,75,Seattle Storm,63,Box Score
Fri Aug 21 2015,Connecticut Sun,76,Tulsa Shock,84,Box Score
Sun Aug 23 2015,Atlanta Dream,102,Connecticut Sun,92,Box Score
Sun Aug 23 2015,New York Liberty,79,Indiana Fever,80,Box Score
Sun Aug 23 2015,Minnesota Lynx,67,Phoenix Mercury,79,Box Score
Sun Aug 23 2015,Los Angeles Sparks,90,San Antonio Silver Stars,59,Box Score
Sun Aug 23 2015,Chicago Sky,66,Washington Mystics,64,Box Score
Tue Aug 25 2015,Connecticut Sun,57,Atlanta Dream,71,Box Score
Wed Aug 26 2015,Los Angeles Sparks,81,Indiana Fever,79,Box Score
Thu Aug 27 2015,Phoenix Mercury,81,Connecticut Sun,80,Box Score
Fri Aug 28 2015,Atlanta Dream,90,Indiana Fever,84,Box Score
Fri Aug 28 2015,Minnesota Lynx,68,New York Liberty,81,Box Score
Fri Aug 28 2015,San Antonio Silver Stars,69,Seattle Storm,83,Box Score
Fri Aug 28 2015,Los Angeles Sparks,66,Tulsa Shock,76,Box Score
Fri Aug 28 2015,Phoenix Mercury,63,Washington Mystics,71,Box Score
Sat Aug 29 2015,Chicago Sky,98,Atlanta Dream,96,Box Score
Sat Aug 29 2015,New York Liberty,80,Connecticut Sun,66,Box Score
Sun Aug 30 2015,Connecticut Sun,72,Chicago Sky,68,Box Score
Sun Aug 30 2015,San Antonio Silver Stars,52,Los Angeles Sparks,60,Box Score
Sun Aug 30 2015,Phoenix Mercury,61,Minnesota Lynx,71,Box Score
Sun Aug 30 2015,Washington Mystics,59,Seattle Storm,69,Box Score
Sun Aug 30 2015,Indiana Fever,70,Tulsa Shock,76,Box Score
Tue Sep 1 2015,Connecticut Sun,51,Indiana Fever,81,Box Score
Tue Sep 1 2015,Atlanta Dream,75,New York Liberty,80,Box Score
Wed Sep 2 2015,Washington Mystics,53,Phoenix Mercury,73,Box Score
Thu Sep 3 2015,Washington Mystics,91,Los Angeles Sparks,93,Box Score
Thu Sep 3 2015,Chicago Sky,82,New York Liberty,60,Box Score
Thu Sep 3 2015,Tulsa Shock,85,Seattle Storm,67,Box Score
Fri Sep 4 2015,Indiana Fever,65,Minnesota Lynx,81,Box Score
Fri Sep 4 2015,Connecticut Sun,73,San Antonio Silver Stars,72,Box Score
Sat Sep 5 2015,Phoenix Mercury,82,San Antonio Silver Stars,52,Box Score
Sun Sep 6 2015,Washington Mystics,67,Atlanta Dream,73,Box Score
Sun Sep 6 2015,Seattle Storm,65,Chicago Sky,93,Box Score
Sun Sep 6 2015,Tulsa Shock,73,Los Angeles Sparks,92,Box Score
Sun Sep 6 2015,New York Liberty,75,Minnesota Lynx,71,Box Score
Tue Sep 8 2015,Seattle Storm,67,Minnesota Lynx,73,Box Score
Tue Sep 8 2015,San Antonio Silver Stars,64,Tulsa Shock,74,Box Score
Tue Sep 8 2015,Indiana Fever,72,Washington Mystics,76,Box Score
Wed Sep 9 2015,Los Angeles Sparks,60,Atlanta Dream,90,Box Score
Wed Sep 9 2015,Connecticut Sun,64,New York Liberty,74,Box Score
Fri Sep 11 2015,Indiana Fever,75,Atlanta Dream,67,Box Score
Fri Sep 11 2015,Tulsa Shock,71,Chicago Sky,92,Box Score
Fri Sep 11 2015,Washington Mystics,82,New York Liberty,55,Box Score
Fri Sep 11 2015,Los Angeles Sparks,65,Phoenix Mercury,70,Box Score
Fri Sep 11 2015,Minnesota Lynx,64,Seattle Storm,78,Box Score
Sun Sep 13 2015,Chicago Sky,75,Connecticut Sun,86,Box Score
Sun Sep 13 2015,New York Liberty,76,Indiana Fever,81,Box Score
Sun Sep 13 2015,San Antonio Silver Stars,59,Seattle Storm,58,Box Score
Sun Sep 13 2015,Phoenix Mercury,87,Tulsa Shock,91,Box Score
Sun Sep 13 2015,Atlanta Dream,73,Washington Mystics,71,Box Score
Thu Sep 17 2015,Indiana Fever,72,Chicago Sky,77,Box Score
Thu Sep 17 2015,Tulsa Shock,55,Phoenix Mercury,88,Box Score
Fri Sep 18 2015,Los Angeles Sparks,65,Minnesota Lynx,67,Box Score
Fri Sep 18 2015,Washington Mystics,86,New York Liberty,83,Box Score
Sat Sep 19 2015,Chicago Sky,82,Indiana Fever,89,Box Score
Sat Sep 19 2015,Phoenix Mercury,91,Tulsa Shock,67,Box Score
Sun Sep 20 2015,Minnesota Lynx,71,Los Angeles Sparks,81,Box Score
Sun Sep 20 2015,New York Liberty,86,Washington Mystics,68,Box Score
