,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
248,249,Kendrick Nunn\nunnke01,MIA,20,5,17.8,2.8,7.8,0.359,0.9,3.6,0.25,0.8,0.8,1.0,0.3,2.0,2.2,1.5,0.4,0.4,1.3,1.6,7.3,3.5
249,250,Carsen Edwards\edwarca01,BOS,3,0,12.7,1.7,5.0,0.33299999999999996,1.0,2.7,0.375,0.7,2.0,0.33299999999999996,0.0,1.7,1.7,0.7,0.7,0.3,0.0,0.3,5.0,3.4
250,251,Vic Law\lawvi01,ORL,4,0,14.0,1.8,4.0,0.43799999999999994,0.5,1.8,0.28600000000000003,0.5,1.0,0.5,0.5,2.5,3.0,1.0,0.5,0.0,0.5,1.5,4.5,3.4
251,252,Tacko Fall\fallta01,BOS,3,0,3.7,1.0,1.0,1.0,0.0,0.0,,0.3,0.7,0.5,0.3,1.3,1.7,0.3,0.3,0.7,0.0,0.7,2.3,3.3
252,253,Jaylen Hoard\hoardja01,POR,3,0,13.8,2.3,4.0,0.583,0.0,0.0,,0.0,0.0,,1.7,1.3,3.0,0.3,0.0,0.0,0.7,1.7,4.7,3.3
253,254,Ersan İlyasova\ilyaser01,MIL,10,0,11.4,1.2,3.2,0.375,0.5,1.8,0.278,1.2,1.4,0.857,0.2,2.8,3.0,0.2,0.3,0.3,0.2,1.1,4.1,3.3
254,255,De'Anthony Melton\meltode01,MEM,8,0,19.5,1.6,6.0,0.271,0.4,2.9,0.13,0.8,1.9,0.4,0.8,2.6,3.4,2.3,1.5,0.3,0.8,2.1,4.4,3.3
255,256,Johnathan Williams\willijo04,WAS,4,1,11.3,0.8,2.3,0.33299999999999996,0.0,0.0,,1.0,2.0,0.5,2.3,3.0,5.3,0.5,0.0,0.5,0.3,1.3,2.5,3.3
256,257,Goga Bitadze\bitadgo01,IND,5,0,12.3,1.8,4.2,0.429,0.4,1.2,0.33299999999999996,0.0,0.0,,0.6,1.4,2.0,0.4,0.8,1.0,0.6,1.6,4.0,3.2
257,258,Wenyen Gabriel\gabriwe01,POR,6,2,12.9,1.7,2.8,0.588,0.3,0.8,0.4,0.3,0.7,0.5,1.7,1.0,2.7,0.7,0.5,0.5,0.8,3.3,4.0,3.2
