,First_Name,Last_Name,player_name,player_id,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Home_Away,win,Min_played,Crowd,total_sec_played
22137,Alana,Beard,Alana Beard,edea0ce9-bdc7-484a-98b1-ac166c1ce240,4,0.0,40.0,0.0,2,1,0,0,1,0,0,1,0,0,18:40,6885,1120.0
22138,Sydney,Wiese,Sydney Wiese,c79389a8-adaf-4987-9359-cac3eb057f79,2,0.0,33.3,0.0,0,1,0,1,0,0,0,0,0,0,9:42,6885,582.0
22139,Riquna,Williams,Riquna Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,14,0.0,40.0,50.0,2,3,2,1,3,0,0,2,0,0,32:21:00,6885,1941.0
22140,Candace,Parker,Candace Parker,e2992444-14b7-4cc1-9880-a874e676d7fd,2,0.0,50.0,0.0,1,3,1,0,0,0,0,2,0,0,6:11,6885,371.0
22141,Marina,Mabrey,Marina Mabrey,36211055-b368-4e99-97f2-7080386db4d5,3,0.0,0.0,33.3,1,0,0,0,1,0,0,1,0,0,9:51,6885,591.0
22142,Kalani,Brown,Kalani Brown,6109be30-a0ce-4c7a-8eef-20fc8ceac1f2,8,66.7,60.0,0.0,0,5,2,0,0,0,0,2,0,0,16:02,6885,962.0
22144,Nneka,Ogwumike,Nneka Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,15,100.0,46.7,0.0,2,10,4,2,4,0,0,4,0,0,29:52:00,6885,1792.0
22145,Chiney,Ogwumike,Chiney Ogwumike,26c1455a-af5d-46b0-b2c6-6c804033ccc7,11,100.0,42.9,100.0,2,10,6,1,1,0,0,2,0,0,27:55:00,6885,1675.0
22147,Elizabeth,Williams,Elizabeth Williams,c8672dba-0deb-4cf1-8304-82365865edaa,17,87.5,50.0,0.0,3,9,4,0,2,0,0,4,1,1,29:45:00,3866,1785.0
22149,Tiffany,Hayes,Tiffany Hayes,f24ac568-77f4-4344-84a7-7fde145dda84,18,66.7,40.0,50.0,3,1,0,0,2,0,0,3,1,1,32:48:00,3866,1968.0
22150,Maite,Cazorla,Maite Cazorla,b8d750b3-c469-4682-b26a-3f54576c7d1e,2,0.0,100.0,0.0,0,1,0,1,0,0,0,1,1,1,11:30,3866,690.0
